position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,effective_temperature_snyder,flowgofluxsnyderheat,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
7960.0,878.1889840386979,0.95,273.71870739061984,3841096.9524726137,81826.49058939738,838.6820216562667,0,0,599176.2613232872,4522099.704385298,121.39245564156043,0.29677643149941707,1315.9165226939674,67664.7959635601,2472.2,0.40379998410218493,773.15,0.8436913813923568,7.465200286043707e-06,-0.001449661190681729,0.005149617258176763,0.035122389945050195,0.017453292519943295,700.0789558222302,14.281999999999988,203.86241788854,6045.009067402369
7970.0,878.1548174785338,0.95,273.8354328009868,3844028.9620174374,81899.50842224804,838.6583858137946,0,0,599701.8889644339,4525630.35940412,121.50402536576897,0.2968510835022775,1315.9020260820605,67724.40092349505,2472.2,0.40342919924360865,773.15,0.8437414353554074,7.4710287835513744e-06,-0.001450793021886934,0.005149617258176763,0.03511753602528366,0.017453292519943295,700.0789558222302,14.281999999999988,204.0086003034999,6045.009067402369
7980.0,878.1206443601181,0.95,273.9523699897183,3846966.35869546,81972.65969105452,838.6347479290806,0,0,600228.4873977512,4529167.505784266,121.61580155373446,0.296925793790113,1315.8875181518417,67784.11299128283,2472.2,0.4030584104363212,773.15,0.8437914928211284,7.4768679971678356e-06,-0.0014519269340446171,0.005149617258176763,0.035112681726342285,0.017453292519943295,700.0789558222302,14.281999999999988,204.1549649562406,6045.009067402369
7990.0,878.0864646748543,0.95,274.06951954374296,3849909.157774291,82045.94477228464,838.6111079979261,0,0,600756.0593808484,4532711.161927424,121.72778479222288,0.2970005624700847,1315.8729988825012,67843.93246509456,2472.2,0.4026876176368161,773.15,0.8438415537956652,7.48271795727108e-06,-0.0014530629330538553,0.005149617258176763,0.03510782704726928,0.017453292519943295,700.0789558222302,14.281999999999988,204.30151223089754,6045.009067402369
8000.0,878.0522784141236,0.95,274.18688205219235,3852857.374579987,82119.36404384361,838.5874660161219,0,0,601284.6076819131,4536261.346305744,121.83997567025183,0.2970753896496574,1315.8584682531707,67903.85964422747,2472.2,0.4023168208014956,773.15,0.8438916182851763,7.488578694355412e-06,-0.0014542010248363127,0.005149617258176763,0.035102971987105325,0.017453292519943295,700.0789558222302,14.281999999999988,204.44824251278558,6045.009067402369
8010.0,878.018085569285,0.95,274.30445810641197,3855811.0244974084,82192.91788508282,838.5638219794473,0,0,601814.135079775,4539818.077462266,121.95237477910443,0.29715027543660094,1315.8439262429224,67963.89482911187,2472.2,0.40194601988665973,773.15,0.8439416862958359,7.49445023903217e-06,-0.0014553412153363804,0.005149617258176763,0.035098116544888334,0.017453292519943295,700.0789558222302,14.281999999999988,204.59515618840433,6045.009067402369
8020.0,877.9838861316742,0.95,274.4222482999715,3858770.122970494,82266.60667680642,838.54017588367,0,0,602344.6443639554,4543381.374011256,122.06498271233967,0.29722521993899126,1315.829372830769,68024.03832131639,2472.2,0.40157521484850855,773.15,0.843991757833833,7.500332622030267e-06,-0.0014564835105212812,0.005149617258176763,0.03509326071965361,0.017453292519943295,700.0789558222302,14.281999999999988,204.7422536454426,6045.009067402369
8030.0,877.9496800926055,0.95,274.5402532286765,3861734.6855024933,82340.43080127718,838.5165277245468,0,0,602876.1383347098,4546951.25463848,122.17780006580152,0.29730022326521155,1315.8148079956638,68084.29042355226,2472.2,0.40120440564314813,773.15,0.8440418329053706,7.506225874196656e-06,-0.0014576279163811597,0.005149617258176763,0.03508840451043382,0.017453292519943295,700.0789558222302,14.281999999999988,204.88953527278318,6045.009067402369
8040.0,877.91546744337,0.95,274.65847349057714,3864704.727656338,82414.39064222538,838.4928774978224,0,0,603408.619803094,4550527.7381016575,122.29082743763304,0.29737528552395354,1315.8002317165,68144.65143968041,2472.2,0.4008335922265802,773.15,0.8440919115166673,7.512130026497069e-06,-0.0014587744389292264,0.005149617258176763,0.03508354791625896,0.017453292519943295,700.0789558222302,14.281999999999988,205.03700146050798,6045.009067402369
8050.0,877.8812481752356,0.95,274.77690968598154,3867680.265054871,82488.48658485487,838.4692251992309,0,0,603942.0915910085,4554110.843230734,122.40406542828575,0.2974504068242185,1315.7856439721108,68205.12167471617,2472.2,0.4004627745547077,773.15,0.8441419936739566,7.518045110016472e-06,-0.0014599230842018455,0.005149617258176763,0.03507869093615623,0.017453292519943295,700.0789558222302,14.281999999999988,205.18465259990268,6045.009067402369
