position,flowgofluxconductionheat,effective_temperature_snyder,characteristic_surface_temperature,effective_radiation_temperature,flowgofluxforcedconvectionheat,flowgofluxradiationheat,flowgofluxsnyderheat,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
37250.0,432583.50607364427,814.7540566613262,0,0,0,0,9762073.745791778,10194657.251865422,694.5117995858942,0.41904677072535895,1292.1729446577924,349769.012573169,2472.2,0.06819423762732411,773.15,0.8902334086953779,1.6831361255101637e-05,-0.003268468395078517,0.005149617258176763,0.013373442624682982,0.0174532925199433,700.0059658460069,14.779999999999987,544.9560477280608,5656.3591141915995
37260.0,433772.8878159973,814.7401437416547,0,0,0,0,9788720.16027896,10222493.048094956,696.4652080121487,0.41921508433791,1292.1402599738417,350685.59809312585,2472.2,0.06800297007099719,773.15,0.8902606527552309,1.687731810589002e-05,-0.0032773927186708013,0.005149617258176763,0.013372346337520477,0.017453292519943295,700.0059658460069,14.779999999999987,545.5801049642074,5656.359114191599
37270.0,434969.43214893644,814.7262180530637,0,0,0,0,9815528.111361464,10250497.543510402,698.4304835726228,0.4193838575189689,1292.107486046655,351607.5481645261,2472.2,0.06781162021118498,773.15,0.8902879093726489,1.692355347873867e-05,-0.0032863711282361406,0.005149617258176763,0.013371249049257159,0.0174532925199433,700.0059658460069,14.779999999999987,546.2063317487601,5656.3591141915995
37280.0,436173.2060934206,814.7122795250889,0,0,0,0,9842499.116201125,10278672.322294546,700.4077378821502,0.41955309305375627,1292.0746223353726,352534.9120219956,2472.2,0.0676201876911731,773.15,0.8903151785995485,1.6970069989130595e-05,-0.0032954041316730588,0.005149617258176763,0.013370150754119972,0.017453292519943295,700.0059658460069,14.779999999999987,546.8347423966396,5656.359114191599
37290.0,437384.2775227259,814.6983280866366,0,0,0,0,9869634.71130336,10307018.988826087,702.3970839800717,0.41972279375364757,1292.0416682940559,353467.73951724847,2472.2,0.06742867215161262,773.15,0.8903424604882282,1.701687028589221e-05,-0.0033044922433550106,0.005149617258176763,0.013369051446283914,0.0174532925199433,700.0059658460069,14.779999999999987,547.4653513639447,5656.3591141915995
37300.0,438602.71517615014,814.6843636659765,0,0,0,0,9896936.452828847,10335539.168004997,704.3986363532035,0.4198929624565065,1292.0086233716222,354406.08112889295,2472.2,0.06723707323049473,773.15,0.8903697550913721,1.706395705173053e-05,-0.0033136359842346943,0.005149617258176763,0.013367951119871437,0.0174532925199433,700.0059658460069,14.779999999999987,548.0981732498132,5656.3591141915995
37310.0,439828.58867302275,814.6703861907338,0,0,0,0,9924405.916912079,10364234.505585102,706.4125109593161,0.4200636020270238,1291.97548701178,355349.98797245824,2472.2,0.06704539056311905,773.15,0.890397062462055,1.7111333003782223e-05,-0.003322835881950679,0.005149617258176763,0.013366849768951765,0.0174532925199433,700.0059658460069,14.779999999999987,548.7332227983143,5656.3591141915995
37320.0,441061.96852695657,814.6563955878803,0,0,0,0,9952044.69998547,10393106.668512426,708.4388252510212,0.42023471535706164,1291.9422586529604,356299.5118105886,2472.2,0.06685362378206657,773.15,0.8904243826537456,1.715900089417226e-05,-0.0033320924709358797,0.005149617258176763,0.013365747387540233,0.0174532925199433,700.0059658460069,14.779999999999987,549.3705149003706,5656.3591141915995
37330.0,442302.92616040003,814.6423917837272,0,0,0,0,9979854.419110283,10422157.345270684,710.4776982001608,0.4204063053660034,1291.908937728251,357254.70506345265,2472.2,0.066661772517169,773.15,0.8904517157203113,1.72069635105843e-05,-0.0033414062925283252,0.005149617258176763,0.013364643969597615,0.0174532925199433,700.0059658460069,14.779999999999987,550.0100645957145,5656.3591141915995
37340.0,443551.5339194577,814.6283747039172,0,0,0,0,10007836.712313715,10451388.246233173,712.5292503226502,0.42057837500110923,1291.8755236653258,358215.6208193409,2472.2,0.06646983639548056,773.15,0.8904790617160225,1.725522367684165e-05,-0.003350777895083976,0.005149617258176763,0.013363539509029474,0.0174532925199433,700.0059658460069,14.779999999999987,550.6518870748755,5656.3591141915995
37350.0,444807.8650890296,814.6143442734142,0,0,0,0,10035993.23893314,10480801.10402217,714.5936037038537,0.42075092723787766,1291.8420158863748,359182.3128454924,2472.2,0.06627781504124532,773.15,0.8905064206955569,1.730378425350066e-05,-0.0033602078340919483,0.005149617258176763,0.01336243399968538,0.0174532925199433,700.0059658460069,14.779999999999987,551.2959976812009,5656.3591141915995
37360.0,446071.9939082248,814.6003004164968,0,0,0,0,10064325.679966718,10510397.673874943,716.6708820244216,0.4209239650804127,1291.808413808034,360154.83559911087,2472.2,0.06608570807586829,773.15,0.8905337927140038,1.735264813845498e-05,-0.0033696966722918617,0.005149617258176763,0.013361327435358287,0.0174532925199433,700.0059658460069,14.779999999999987,551.9424119129119,5656.3591141915995
37370.0,447343.9955860948,814.5862430567483,0,0,0,0,10092835.738431213,10540179.734017309,718.7612105866671,0.4210974915617972,1291.774716841311,361133.24423861195,2472.2,0.06589351511788374,773.15,0.8905611778268687,1.7401818267552317e-05,-0.0033792449797936013,0.005149617258176763,0.013360219809783745,0.0174532925199433,700.0059658460069,14.779999999999987,552.5911454251918,5656.3591141915995
37380.0,448623.9463176821,814.5721721170489,0,0,0,0,10121525.139727026,10570149.086044708,720.8647163414673,0.42127150974447275,1291.740924391513,362117.59463508916,2472.2,0.06570123578292345,773.15,0.8905885760900785,1.7451297615223586e-05,-0.003388853334199495,0.005149617258176763,0.013359111116639236,0.0174532925199433,700.0059658460069,14.779999999999987,553.2422140323138,5656.3591141915995
37390.0,449911.92330038414,814.5580875195654,0,0,0,0,10150395.632010376,10600307.55531076,722.9815279157009,0.421446022720625,1291.7070358581711,363107.9433840077,2472.2,0.06550886968368479,773.15,0.8906159875599847,1.750108919512441e-05,-0.003398522320728885,0.005149617258176763,0.013358001349543352,0.0174532925199433,700.0059658460069,14.779999999999987,553.8956337097992,5656.3591141915995
37400.0,451208.004750658,814.5439891857436,0,0,0,0,10179448.986573305,10630656.991323963,725.1117756402514,0.42162103361257625,1291.6730506349638,364104.34781713545,2472.2,0.06531641642989737,773.15,0.8906434122933699,1.755119606079009e-05,-0.003408252532345314,0.005149617258176763,0.013356890502055126,0.0174532925199433,700.0059658460069,14.779999999999987,554.5514205966181,5656.3591141915995
37410.0,452512.26992103877,814.5298770362978,0,0,0,0,10208686.998230748,10661199.268151786,727.2555915785431,0.42179654557318413,1291.6389681096405,365106.86601469736,2472.2,0.06512387562829201,773.15,0.8906708503474507,1.7601621306302714e-05,-0.003418044569886077,0.005149617258176763,0.013355778567673185,0.0174532925199433,700.0059658460069,14.779999999999987,555.2095909974233,5656.3591141915995
37420.0,453824.7991175381,814.5157509912019,0,0,0,0,10238111.485716335,10691936.284833873,729.4131095557123,0.42197256178624715,1291.6047876639416,366115.55681780016,2472.2,0.06493124688256444,773.15,0.8906983017798848,1.765236806697342e-05,-0.0034278990421946994,0.005149617258176763,0.013354665539835012,0.0174532925199433,700.0059658460069,14.779999999999987,555.8701613848259,5656.3591141915995
37430.0,455145.67371735687,814.5016109696801,0,0,0,0,10267724.292085312,10722869.96580267,731.5844651883075,0.4221490854669169,1291.5705086735197,367130.4798410755,2472.2,0.06473852979334412,773.15,0.8907257666487735,1.77034395200368e-05,-0.0034378165662557907,0.005149617258176763,0.013353551411916149,0.0174532925199433,700.0059658460069,14.779999999999987,556.5331484017076,5656.3591141915995
